Sale Code,Sale Date,Quantity,Discount (%),Total Value (USD),Product Code,Product Name,Product Category,Product Launch Date,Product Price (USD),Product Active Flag,Customer Code,Customer Name,Contact Name,Customer Email,Customer Phone Number,Customer Address,Customer Region Code,Customer Type,Customer Creation Date,Rep Code,Rep Name,Rep Email,Rep Phone Number,Rep Birth Date,Rep Hire Date,Rep Status,Rep Region Code
SALE00015,2024-08-25,8,0.22,380.11,PROD001,Expedite Impactful Vortals,Antibiotic,2015-12-24,191.23,0,CUST0038,"Harper, Mccormick and Holland",Brandon Gregory,jennifer92@yahoo.com,925-462-9148,"81685 Michael Falls Apt. 573, East Eric, WY 13757",REG03,Clinic,2024-08-19,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN
SALE00016,2024-12-07,68,0.05,4807.82,PROD010,Transform End-To-End Infrastructures,Analgesic,2018-08-30,135.35,1,CUST0031,Dougherty Inc,Susan Hopkins,bschneider@gmail.com,661.771.1592x1249,"9847 Garcia Squares Apt. 836, Beasleychester, NH 52763",REG02,Pharmacy,2024-03-30,REP017,Nathan Freeman,combscharles@williams.com,3875099770,1974-10-02,2021-01-19,Inactive,REG01
SALE00017,2024-10-07,77,0.02,4322.91,PROD002,Whiteboard Real-Time Systems,Analgesic,2023-10-27,106.46,1,CUST0012,"Ortiz, Powell and Phillips",Jason Bentley,richard04@clark-floyd.org,+1-577-738-7214x8951,"433 Andrew Gardens, Carrland, MT 83045",REG05,Pharmacy,2024-12-03,REP003,Patrick Allen,danawilliams@rivera-kennedy.com,(773)454-0193x80262,1975-03-23,2020-07-08,Active,REG03
SALE00018,2024-12-02,32,0.17,294.73,PROD007,Unleash B2C Architectures,Antiviral,2020-11-10,55.5,1,CUST0008,"Silva, Mills and Donovan",Mike Allen,emilyevans@yahoo.com,001-107-991-1838x42513,"8498 Elizabeth Plaza, Sarahville, DC 35165",REG01,Hospital,2022-12-19,REP019,Courtney Sutton DVM,sullivannicholas@brown-smith.com,(591)803-3974x01489,1998-06-29,2021-03-05,Inactive,REG03
SALE00019,2024-10-16,73,0.16,4680.06,PROD002,Whiteboard Real-Time Systems,Analgesic,2023-10-27,106.46,1,CUST0027,"Beltran, Lozano and Mcgee",Stephanie Parsons,jeffery39@byrd-le.com,+1-104-709-5214x5623,"842 Sloan Orchard Suite 517, East Karenbury, TX 95425",REG03,Clinic,2025-05-05,REP019,Courtney Sutton DVM,sullivannicholas@brown-smith.com,(591)803-3974x01489,1998-06-29,2021-03-05,Inactive,REG03
SALE00020,2024-12-27,31,0.08,741.3,PROD004,Brand Viral Methodologies,Analgesic,2021-12-09,81.04,1,CUST0043,Stewart LLC,Virginia Daniels,mullinsjames@yahoo.com,001-054-156-6765x27758,"616 Amy Islands, North Markport, NV 79487",REG03,Clinic,2024-04-14,REP011,James Hall,eric31@gmail.com,311.907.9030,1965-07-16,2024-01-15,Inactive,REG02
SALE00021,2025-04-21,41,0.28,4685.1,PROD011,Brand Customized Schemas,Antiviral,2024-03-11,110.26,0,CUST0020,"Clark, Guerrero and Moore",Benjamin Smith,UNSPECIFIED,974.034.4713x493,"242 Brian Turnpike, Brookeshire, LA 58061",REG04,Hospital,2023-01-02,REP015,Autumn Key,heatherpadilla@yahoo.com,001-467-854-4587x71753,1986-05-12,2022-07-05,Inactive,REG05
SALE00023,2024-07-21,17,0.28,4416.23,PROD004,Brand Viral Methodologies,Analgesic,2021-12-09,81.04,1,CUST0033,Bell PLC,Phillip Andrews,lynchdiane@hotmail.com,024-455-0229x612,"83667 Moore Inlet, Kimberlyshire, CO 07396",REG01,Pharmacy,2023-02-19,REP009,Steven Griffin Jr.,dbryant@ford.biz,001-391-065-1801x7046,1964-09-05,2022-08-21,Active,REG01
SALE00024,2024-11-09,37,0.05,4185.35,PROD015,Deploy Integrated Infrastructures,Antibiotic,2019-08-09,57.1,1,CUST0016,Wells Inc,Claudia Lyons,catherinestuart@hotmail.com,241-904-9663,"49190 Patel Shore, Caseymouth, MT 64752",REG04,Pharmacy,2022-12-03,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN
SALE00025,2024-09-27,84,0.16,3372.53,PROD012,Deploy Sticky Web-Readiness,Analgesic,2016-12-30,186.49,1,CUST0020,"Clark, Guerrero and Moore",Benjamin Smith,UNSPECIFIED,974.034.4713x493,"242 Brian Turnpike, Brookeshire, LA 58061",REG04,Hospital,2023-01-02,REP020,Cassie Jefferson,brendagoodwin@nicholson.org,+1-856-218-5016x31599,1990-12-16,2022-07-09,Inactive,REG02
SALE00026,2024-09-25,18,0.08,0.0,PROD009,Monetize Visionary Relationships,Antibiotic,2020-01-24,195.82,1,CUST0020,"Clark, Guerrero and Moore",Benjamin Smith,UNSPECIFIED,974.034.4713x493,"242 Brian Turnpike, Brookeshire, LA 58061",REG04,Hospital,2023-01-02,REP004,Amanda Huff,sharonhayden@yahoo.com,991-547-8872x8743,1965-02-08,2020-10-16,Inactive,REG02
SALE00027,2025-03-28,20,0.08,3063.67,PROD015,Deploy Integrated Infrastructures,Antibiotic,2019-08-09,57.1,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN
SALE00028,2025-02-19,88,0.19,1393.52,PROD012,Deploy Sticky Web-Readiness,Analgesic,2016-12-30,186.49,1,CUST0022,Rivera Ltd,Matthew Morales DDS,qmiller@wilson-barton.net,8760385977,"8247 Martinez Roads, Lake Eric, AL 72885",REG05,Pharmacy,2024-03-17,REP007,Jonathan Jacobson,fowlershelia@yahoo.com,(727)956-8783,1979-05-22,2022-05-09,Active,REG03
SALE00029,2024-12-31,12,0.19,4163.81,PROD008,Disintermediate Sticky Infrastructures,Antibiotic,2015-07-25,26.27,0,CUST0017,Yu-Reid,Michelle Graham,umarshall@hotmail.com,531-473-7996x507,"3545 Beard Squares, Angelahaven, CO 32136",REG03,Hospital,2024-03-15,REP002,Timothy Pope,david86@yahoo.com,041-574-7338x4842,1974-06-11,2023-05-30,Active,REG04
SALE00030,2025-02-07,99,0.04,4901.01,PROD001,Expedite Impactful Vortals,Antibiotic,2015-12-24,191.23,0,CUST0001,"Rodriguez, Figueroa and Sanchez",Brian Yang,fjohnson@hall.com,+1-386-379-4026,"51161 Abbott Rapids, Lindsaymouth, DE 50116",REG01,Hospital,2022-10-23,REP011,James Hall,eric31@gmail.com,311.907.9030,1965-07-16,2024-01-15,Inactive,REG02
SALE00031,2025-02-16,71,0.21,2848.44,PROD003,Enhance Synergistic Schemas,Antiviral,2021-11-10,169.92,1,CUST0048,Anderson-Wood,Emma Owens,gwright@gmail.com,696-325-9532x7877,"16873 Brandy Causeway Apt. 479, Mitchelltown, CT 56983",REG03,Hospital,2023-01-17,REP015,Autumn Key,heatherpadilla@yahoo.com,001-467-854-4587x71753,1986-05-12,2022-07-05,Inactive,REG05
SALE00032,2024-09-05,70,0.01,1909.16,PROD002,Whiteboard Real-Time Systems,Analgesic,2023-10-27,106.46,1,CUST0005,"Campos, Vaughn and Marquez",Michael Brooks,UNSPECIFIED,713.315.0983x93010,"1834 Lewis Curve, Sanchezfort, MT 25458",REG05,Hospital,2022-11-16,REP005,Erin Simon,alexisrogers@yahoo.com,(966)851-6122,1977-08-15,2025-04-21,Inactive,REG05
SALE00034,2024-12-16,27,0.2,3367.97,PROD015,Deploy Integrated Infrastructures,Antibiotic,2019-08-09,57.1,1,CUST0003,Wilkerson-Day,Charles Mcgee,zhurst@yahoo.com,287.101.2269,"784 Erin Crescent Suite 514, Mooretown, VA 35023",REG02,Hospital,2024-08-08,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN
SALE00035,2024-08-02,53,0.29,3772.44,PROD006,Evolve Real-Time Eyeballs,Antibiotic,2021-12-09,31.25,0,CUST0050,"Patel, Erickson and Evans",Isabella Nunez,UNSPECIFIED,(940)974-9930x97289,"30913 Scott Manor Apt. 636, Salaston, DC 68485",REG03,Hospital,2023-05-11,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN
SALE00036,2024-08-13,23,0.26,221.45,PROD015,Deploy Integrated Infrastructures,Antibiotic,2019-08-09,57.1,1,CUST0016,Wells Inc,Claudia Lyons,catherinestuart@hotmail.com,241-904-9663,"49190 Patel Shore, Caseymouth, MT 64752",REG04,Pharmacy,2022-12-03,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN
SALE00037,2024-10-18,86,0.26,4072.67,PROD012,Deploy Sticky Web-Readiness,Analgesic,2016-12-30,186.49,1,CUST0022,Rivera Ltd,Matthew Morales DDS,qmiller@wilson-barton.net,8760385977,"8247 Martinez Roads, Lake Eric, AL 72885",REG05,Pharmacy,2024-03-17,REP014,David Harris,fboone@hardy.org,983.735.4033,1969-06-06,2020-10-22,Inactive,REG05
SALE00038,2024-06-24,49,0.26,4307.11,PROD005,Evolve Distributed Action-Items,Antibiotic,2016-09-21,123.8,0,CUST0011,Rasmussen LLC,Jordan Frazier,wilsontara@gmail.com,001-401-965-5698,"0608 Michael Cliff, Cindyville, ME 66970",REG05,Hospital,2023-10-16,REP004,Amanda Huff,sharonhayden@yahoo.com,991-547-8872x8743,1965-02-08,2020-10-16,Inactive,REG02
SALE00039,2024-11-22,45,0.09,0.0,PROD004,Brand Viral Methodologies,Analgesic,2021-12-09,81.04,1,CUST0013,Higgins Group,David Douglas Jr.,zrobinson@holmes.com,278.895.7986x872,"4348 Sims Harbor Suite 143, Matthewside, DC 20270",REG02,Pharmacy,2023-06-17,REP015,Autumn Key,heatherpadilla@yahoo.com,001-467-854-4587x71753,1986-05-12,2022-07-05,Inactive,REG05
SALE00040,2024-10-29,4,0.2,2052.48,PROD013,Seize E-Business Metrics,Antiviral,2020-12-28,85.81,0,CUST0015,Camacho and Sons,James Lewis,UNSPECIFIED,564-641-7080x53100,"USNS Combs, FPO AP 20474",REG01,Hospital,2023-06-28,REP008,Melanie Larson,xrice@stark.com,982.258.7139,1998-11-15,2025-02-17,Inactive,REG02
SALE00041,2025-05-14,45,0.19,2058.42,PROD005,Evolve Distributed Action-Items,Antibiotic,2016-09-21,123.8,0,CUST0005,"Campos, Vaughn and Marquez",Michael Brooks,UNSPECIFIED,713.315.0983x93010,"1834 Lewis Curve, Sanchezfort, MT 25458",REG05,Hospital,2022-11-16,REP009,Steven Griffin Jr.,dbryant@ford.biz,001-391-065-1801x7046,1964-09-05,2022-08-21,Active,REG01
SALE00042,2025-02-17,4,0.03,4854.96,PROD014,Cultivate Integrated Synergies,Vaccine,2020-06-09,180.93,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,REP011,James Hall,eric31@gmail.com,311.907.9030,1965-07-16,2024-01-15,Inactive,REG02
SALE00043,2024-11-16,5,0.03,2229.36,PROD003,Enhance Synergistic Schemas,Antiviral,2021-11-10,169.92,1,CUST0038,"Harper, Mccormick and Holland",Brandon Gregory,jennifer92@yahoo.com,925-462-9148,"81685 Michael Falls Apt. 573, East Eric, WY 13757",REG03,Clinic,2024-08-19,REP009,Steven Griffin Jr.,dbryant@ford.biz,001-391-065-1801x7046,1964-09-05,2022-08-21,Active,REG01
SALE00045,2025-04-30,33,0.01,2236.68,PROD015,Deploy Integrated Infrastructures,Antibiotic,2019-08-09,57.1,1,CUST0037,Decker-Jones,Savannah Gilbert,ycarpenter@hotmail.com,7935978207,"182 John Mill Suite 889, West Nathan, MS 54079",REG02,Clinic,2023-11-30,REP007,Jonathan Jacobson,fowlershelia@yahoo.com,(727)956-8783,1979-05-22,2022-05-09,Active,REG03
SALE00046,2025-05-22,47,0.13,4749.48,PROD009,Monetize Visionary Relationships,Antibiotic,2020-01-24,195.82,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,REP007,Jonathan Jacobson,fowlershelia@yahoo.com,(727)956-8783,1979-05-22,2022-05-09,Active,REG03
SALE00047,2024-10-27,41,0.2,710.66,PROD015,Deploy Integrated Infrastructures,Antibiotic,2019-08-09,57.1,1,CUST0022,Rivera Ltd,Matthew Morales DDS,qmiller@wilson-barton.net,8760385977,"8247 Martinez Roads, Lake Eric, AL 72885",REG05,Pharmacy,2024-03-17,REP020,Cassie Jefferson,brendagoodwin@nicholson.org,+1-856-218-5016x31599,1990-12-16,2022-07-09,Inactive,REG02
SALE00048,2024-12-09,40,0.2,1698.3,PROD015,Deploy Integrated Infrastructures,Antibiotic,2019-08-09,57.1,1,CUST0020,"Clark, Guerrero and Moore",Benjamin Smith,UNSPECIFIED,974.034.4713x493,"242 Brian Turnpike, Brookeshire, LA 58061",REG04,Hospital,2023-01-02,REP017,Nathan Freeman,combscharles@williams.com,3875099770,1974-10-02,2021-01-19,Inactive,REG01
SALE00049,2024-10-29,17,0.06,3358.15,PROD012,Deploy Sticky Web-Readiness,Analgesic,2016-12-30,186.49,1,CUST0019,Hill Inc,Melissa Martinez,salasaudrey@yahoo.com,752.047.1167x1902,"31869 Kimberly Light Suite 749, Torreston, WA 13507",REG01,Hospital,2023-05-11,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN
SALE00050,2024-12-06,79,0.17,2089.77,PROD007,Unleash B2C Architectures,Antiviral,2020-11-10,55.5,1,CUST0044,Norris LLC,Nicholas Buck,danielle01@hotmail.com,+1-658-202-9702x1355,"275 Wallace Club, New Michael, SD 37029",REG05,Hospital,2023-07-15,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN
SALE00051,2025-05-04,37,0.06,3950.22,PROD014,Cultivate Integrated Synergies,Vaccine,2020-06-09,180.93,0,CUST0001,"Rodriguez, Figueroa and Sanchez",Brian Yang,fjohnson@hall.com,+1-386-379-4026,"51161 Abbott Rapids, Lindsaymouth, DE 50116",REG01,Hospital,2022-10-23,REP010,Chad May,victoria67@yahoo.com,+1-825-128-6823x00478,1969-12-08,2023-09-02,Active,REG01
SALE00052,2025-05-07,60,0.13,0.0,PROD010,Transform End-To-End Infrastructures,Analgesic,2018-08-30,135.35,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,REP011,James Hall,eric31@gmail.com,311.907.9030,1965-07-16,2024-01-15,Inactive,REG02
SALE00053,2025-05-21,61,0.24,4803.18,PROD011,Brand Customized Schemas,Antiviral,2024-03-11,110.26,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,REP017,Nathan Freeman,combscharles@williams.com,3875099770,1974-10-02,2021-01-19,Inactive,REG01
SALE00054,2025-03-01,37,0.15,3201.41,PROD012,Deploy Sticky Web-Readiness,Analgesic,2016-12-30,186.49,1,CUST0011,Rasmussen LLC,Jordan Frazier,wilsontara@gmail.com,001-401-965-5698,"0608 Michael Cliff, Cindyville, ME 66970",REG05,Hospital,2023-10-16,REP003,Patrick Allen,danawilliams@rivera-kennedy.com,(773)454-0193x80262,1975-03-23,2020-07-08,Active,REG03
SALE00056,2025-02-07,32,0.3,3095.24,PROD003,Enhance Synergistic Schemas,Antiviral,2021-11-10,169.92,1,CUST0002,"Carter, Fuller and Mcclure",Corey Jones,tracie31@ramirez-reid.com,(553)419-2832,"835 Jeremy Bypass Suite 641, New Nancy, IL 86410",REG03,Hospital,2024-08-06,REP002,Timothy Pope,david86@yahoo.com,041-574-7338x4842,1974-06-11,2023-05-30,Active,REG04
SALE00057,2024-08-13,54,0.27,2920.79,PROD013,Seize E-Business Metrics,Antiviral,2020-12-28,85.81,0,CUST0005,"Campos, Vaughn and Marquez",Michael Brooks,UNSPECIFIED,713.315.0983x93010,"1834 Lewis Curve, Sanchezfort, MT 25458",REG05,Hospital,2022-11-16,REP015,Autumn Key,heatherpadilla@yahoo.com,001-467-854-4587x71753,1986-05-12,2022-07-05,Inactive,REG05
SALE00058,2024-10-16,64,0.12,823.1,PROD012,Deploy Sticky Web-Readiness,Analgesic,2016-12-30,186.49,1,CUST0045,Johnson and Sons,Mr. Justin Green III,UNSPECIFIED,394.731.2172x715,"844 Jennifer Squares, Port Michael, DE 26843",REG03,Hospital,2023-01-24,REP013,Teresa Powers,trussell@yahoo.com,342.708.6688,1996-09-12,2022-01-14,Inactive,REG04
SALE00059,2024-10-24,100,0.13,961.84,PROD012,Deploy Sticky Web-Readiness,Analgesic,2016-12-30,186.49,1,CUST0001,"Rodriguez, Figueroa and Sanchez",Brian Yang,fjohnson@hall.com,+1-386-379-4026,"51161 Abbott Rapids, Lindsaymouth, DE 50116",REG01,Hospital,2022-10-23,REP004,Amanda Huff,sharonhayden@yahoo.com,991-547-8872x8743,1965-02-08,2020-10-16,Inactive,REG02
SALE00060,2025-02-11,7,0.17,4595.6,PROD012,Deploy Sticky Web-Readiness,Analgesic,2016-12-30,186.49,1,CUST0034,Webster Inc,Denise Stanley,nperry@hotmail.com,561-497-8403,"34324 Murphy Avenue, Burgessburgh, MS 70307",REG03,Pharmacy,2025-06-20,REP015,Autumn Key,heatherpadilla@yahoo.com,001-467-854-4587x71753,1986-05-12,2022-07-05,Inactive,REG05
SALE00061,2025-03-19,60,0.2,4940.67,PROD002,Whiteboard Real-Time Systems,Analgesic,2023-10-27,106.46,1,CUST0030,Kramer PLC,Scott Thomas,UNSPECIFIED,(842)102-0539,"0268 Julie Mountains, Stricklandhaven, CT 59746",REG01,Hospital,2024-08-13,REP005,Erin Simon,alexisrogers@yahoo.com,(966)851-6122,1977-08-15,2025-04-21,Inactive,REG05
SALE00062,2024-09-08,79,0.24,4470.9,PROD010,Transform End-To-End Infrastructures,Analgesic,2018-08-30,135.35,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,REP015,Autumn Key,heatherpadilla@yahoo.com,001-467-854-4587x71753,1986-05-12,2022-07-05,Inactive,REG05
SALE00063,2024-12-25,21,0.22,2425.9,PROD007,Unleash B2C Architectures,Antiviral,2020-11-10,55.5,1,CUST0036,Dixon Inc,Cheyenne Parsons,joelthomas@gmail.com,(921)277-9979,"527 Taylor Roads Suite 490, Williamport, NV 05430",REG03,Pharmacy,2022-09-19,REP015,Autumn Key,heatherpadilla@yahoo.com,001-467-854-4587x71753,1986-05-12,2022-07-05,Inactive,REG05
SALE00064,2024-10-22,82,0.08,3910.61,PROD005,Evolve Distributed Action-Items,Antibiotic,2016-09-21,123.8,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,REP008,Melanie Larson,xrice@stark.com,982.258.7139,1998-11-15,2025-02-17,Inactive,REG02
SALE00065,2024-08-29,36,0.13,0.0,PROD008,Disintermediate Sticky Infrastructures,Antibiotic,2015-07-25,26.27,0,CUST0041,Vang-Brooks,Timothy Combs,devinmitchell@yahoo.com,001-277-901-0432x898,"41036 Brown Villages Suite 980, Lake Douglas, AL 81085",REG02,Hospital,2023-12-23,REP008,Melanie Larson,xrice@stark.com,982.258.7139,1998-11-15,2025-02-17,Inactive,REG02
SALE00067,2024-11-23,30,0.11,848.75,PROD002,Whiteboard Real-Time Systems,Analgesic,2023-10-27,106.46,1,CUST0009,Newton and Sons,Larry Robbins,william40@walters.com,5242786801,"059 Russell Canyon, Michaelton, MI 28036",REG02,Clinic,2025-05-17,REP005,Erin Simon,alexisrogers@yahoo.com,(966)851-6122,1977-08-15,2025-04-21,Inactive,REG05
SALE00068,2024-10-23,53,0.1,2383.03,PROD004,Brand Viral Methodologies,Analgesic,2021-12-09,81.04,1,CUST0005,"Campos, Vaughn and Marquez",Michael Brooks,UNSPECIFIED,713.315.0983x93010,"1834 Lewis Curve, Sanchezfort, MT 25458",REG05,Hospital,2022-11-16,REP014,David Harris,fboone@hardy.org,983.735.4033,1969-06-06,2020-10-22,Inactive,REG05
SALE00069,2024-10-13,50,0.27,2961.99,PROD001,Expedite Impactful Vortals,Antibiotic,2015-12-24,191.23,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,REP014,David Harris,fboone@hardy.org,983.735.4033,1969-06-06,2020-10-22,Inactive,REG05
SALE00070,2025-04-03,49,0.14,4719.43,PROD012,Deploy Sticky Web-Readiness,Analgesic,2016-12-30,186.49,1,CUST0002,"Carter, Fuller and Mcclure",Corey Jones,tracie31@ramirez-reid.com,(553)419-2832,"835 Jeremy Bypass Suite 641, New Nancy, IL 86410",REG03,Hospital,2024-08-06,REP019,Courtney Sutton DVM,sullivannicholas@brown-smith.com,(591)803-3974x01489,1998-06-29,2021-03-05,Inactive,REG03
SALE00071,2025-03-18,54,0.16,3699.71,PROD005,Evolve Distributed Action-Items,Antibiotic,2016-09-21,123.8,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,REP013,Teresa Powers,trussell@yahoo.com,342.708.6688,1996-09-12,2022-01-14,Inactive,REG04
SALE00072,2025-02-22,63,0.07,2235.6,PROD013,Seize E-Business Metrics,Antiviral,2020-12-28,85.81,0,CUST0039,"Conley, Stephenson and Johnson",Ralph Anderson,francisguerra@hotmail.com,(706)537-9473,"3597 Hammond Tunnel Suite 886, Port James, DC 33269",REG01,Clinic,2022-09-12,REP008,Melanie Larson,xrice@stark.com,982.258.7139,1998-11-15,2025-02-17,Inactive,REG02
